ref,secteur,sous_secteur,nom,type,params,actif,cumac_H1,cumac_H2,cumac_H3,cumac_DOM,unite,duree_vie,eur_max_unite_classique,eur_max_unite_precarite,audit_status,conditions_texte
IND-UT-101,IND,UT,Management énergétique ISO 50001,unitaire,quantite,OUI,850000,850000,850000,850000,kWhc par site,15,7463.0,13940.0,abrogation_à_confirmer,
IND-UT-102,IND,UT,VEV moteur asynchrone industriel,complexe,puissance,NON,4800,4800,4800,4800,kWhc par kW,15,42.14,78.72,V39.0.7_désactivée,Equipement/batiment existant > 2 ans / Installation par professionnel
IND-UT-103,IND,UT,Compresseur air performant industriel,unitaire,puissance,OUI,7800,7800,7800,7800,kWhc par kW,15,68.48,127.92,,
IND-UT-104,IND,UT,Moteur haut rendement IE3/IE4,unitaire,puissance,OUI,2200,2200,2200,2200,kWhc par kW,10,19.32,36.08,,Installation par professionnel
IND-UT-105,IND,UT,Brûleur micro-modulant,unitaire,puissance,OUI,18800,15400,11000,7400,kWhc par kW,15,165.06,308.32,,Installation par professionnel
IND-UT-106,IND,UT,Brûleur micro-modulant condensation,unitaire,puissance,OUI,175,150,120,90,kWhc par kW,15,1.54,2.87,abrogation_à_confirmer,
IND-UT-108,IND,UT,Détection fuites réseau air comprimé,unitaire,puissance,OUI,3600,3600,3600,3600,kWhc par kW,15,31.61,59.04,abrogation_à_confirmer,
IND-UT-109,IND,UT,Optimisation production froid industriel,unitaire,puissance,OUI,4200,3800,3200,2600,kWhc par kW froid,15,36.88,68.88,abrogation_à_confirmer,
IND-UT-112,IND,UT,Système mesurage indicateurs énergétiques,unitaire,quantite,OUI,320000,320000,320000,320000,kWhc par site,15,2809.6,5248.0,abrogation_à_confirmer,
IND-UT-113,IND,UT,Récupérateur chaleur fumées chaudière,unitaire,puissance,OUI,12400,10200,7300,4900,kWhc par kW,15,108.87,203.36,,Moteur IE3 ou IE4 / Puissance 0.12 a 1000 kW
IND-UT-114,IND,UT,Moto-variateur synchrone aimants,complexe,puissance,NON,6100,6100,6100,6100,kWhc par kW,20,53.56,100.04,V39.0.7_désactivée,Installation par professionnel
IND-UT-115,IND,UT,Système de régulation sur un groupe de production de froid,unitaire,puissance,NON,A VERIFIER,,,,,14,,,,Installation par professionnel
IND-UT-116,IND,UT,Régulation haute pression flottante,unitaire,puissance,OUI,16400,16400,16400,16400,kWhc par kW,15,143.99,268.96,,
IND-UT-117,IND,UT,Récup chaleur groupe froid industriel,unitaire,puissance,NON,12400,10200,7300,4900,kWhc par kW,15,108.87,203.36,abrogation_à_confirmer,Puissance compresseur >= 10 kW / Recuperateur de chaleur neuf
IND-UT-118,IND,UT,Brûleur récup chaleur four industriel,complexe,puissance,NON,12000,12000,12000,12000,kWhc par kW,15,105.36,196.8,V39.0.7_désactivée,Equipement/batiment existant > 2 ans / Installation par professionnel
IND-UT-120,IND,UT,Compresseur air basse pression,unitaire,puissance,OUI,7800,7800,7800,7800,kWhc par kW,15,68.48,127.92,,Installation par professionnel
IND-UT-121,IND,UT,Calorifugeage industriel réseau froid,surface,surface,NON,A VERIFIER,,,,kWhc par m2,,,,placeholder,
IND-UT-122,IND,UT,Sécheur air comprimé adsorption,unitaire,puissance,OUI,18200,18200,18200,18200,kWhc par kW,15,159.8,298.48,,Installation par professionnel
IND-UT-124,IND,UT,Séquenceur centrale air comprimé,complexe,puissance,OUI,7800,7800,7800,7800,kWhc par kW,13,68.48,127.92,,Séquenceur avec optimisation énergie / Industrie uniquement
IND-UT-125,IND,UT,Traitement eau chaudière vapeur,complexe,puissance,NON,18800,15400,11000,7400,kWhc par kW,10,165.06,308.32,V39.0.7_désactivée,Installation par professionnel
IND-UT-127,IND,UT,Système transmission performant,unitaire,puissance,OUI,6100,6100,6100,6100,kWhc par kW,15,53.56,100.04,,
IND-UT-129,IND,UT,Presse injection tout électrique/hybride,unitaire,puissance,OUI,12000,12000,12000,12000,kWhc par kW,15,105.36,196.8,,Equipement/batiment existant > 2 ans / Installation par professionnel
IND-UT-130,IND,UT,Condenseur effluents gazeux chaudière,unitaire,puissance,OUI,12400,10200,7300,4900,kWhc par kW,10,108.87,203.36,,Installation par professionnel
IND-UT-131,IND,UT,Isolation parois planes/cylindriques,complexe,surface,NON,4200,4200,4200,4200,kWhc par m²,10,36.88,68.88,V39.0.7_désactivée,Equipement/batiment existant > 2 ans / Installation par professionnel
IND-UT-132,IND,UT,Moteur asynchrone IE4,complexe,puissance,NON,2200,2200,2200,2200,kWhc par kW,15,19.32,36.08,V39.0.7_désactivée,Installation par professionnel
IND-UT-133,IND,UT,Système pilotage moteur récupération,complexe,puissance,NON,6100,6100,6100,6100,kWhc par kW,15,53.56,100.04,V39.0.7_désactivée,Equipement/batiment existant > 2 ans / Installation par professionnel
IND-UT-134,IND,UT,Mesurage indicateurs performance énergétique,unitaire,puissance,OUI,7800,7800,7800,7800,kWhc par kW,15,68.48,127.92,,Groupe froid neuf / EER >= valeur seuil selon puissance
IND-UT-135,IND,UT,Freecooling eau refroidissement,unitaire,puissance,OUI,9400,9400,9400,9400,kWhc par kW,15,82.53,154.16,,
IND-UT-136,IND,UT,Systèmes moto-régulés VSD,unitaire,puissance,NON,6100,6100,6100,6100,kWhc par kW,15,53.56,100.04,abrogation_à_confirmer,
IND-UT-137,IND,UT,PAC rehausse T° chaleur fatale,complexe,puissance,NON,14200,14200,14200,14200,kWhc par kW,15,124.68,232.88,V39.0.7_désactivée,Equipement/batiment existant > 2 ans / Installation par professionnel
IND-UT-138,IND,UT,Conversion chaleur fatale électricité/air,complexe,puissance,NON,12000,12000,12000,12000,kWhc par kW,15,105.36,196.8,V39.0.7_désactivée,Equipement/batiment existant > 2 ans / Installation par professionnel
IND-UT-139,IND,UT,Stockage chaleur fatale,complexe,puissance,NON,14200,14200,14200,14200,kWhc par kW,20,124.68,232.88,V39.0.7_désactivée,Equipement/batiment existant > 2 ans / Installation par professionnel
IND-UT-140,IND,UT,Mise en veille machine air comprimé,unitaire,puissance,OUI,9400,9400,9400,9400,kWhc par kW,15,82.53,154.16,,Equipement/batiment existant > 2 ans / Installation par professionnel
RES-CH-101,RES,CH,Raccordement réseau chaleur EnR&R,unitaire,nb_logements,OUI,38600,31600,23900,15000,kWhc par logement,15,338.91,633.04,abrogation_à_confirmer,
RES-CH-102,RES,CH,Comptage individuel réseau chaleur,unitaire,nb_logements,OUI,4500,3700,2800,1800,kWhc par logement,15,39.51,73.8,abrogation_à_confirmer,
RES-CH-103,RES,CH,Réhabilitation poste livraison chaleur tertiaire,unitaire,quantite,OUI,14200,11600,8300,5500,kWhc par unité,15,124.68,232.88,,
RES-CH-104,RES,CH,Réhabilitation poste livraison chaleur résidentiel,unitaire,quantite,OUI,14200,11600,8300,5500,kWhc par unité,15,124.68,232.88,,
RES-CH-105,RES,CH,Passage réseau basse température,unitaire,longueur,OUI,75,61,44,29,kWhc par m,30,0.66,1.23,,Equipement/batiment existant > 2 ans / Installation par professionnel
RES-CH-106,RES,CH,Calorifugeage canalisations réseau,complexe,longueur,NON,22,18,13,9,kWhc par m,30,0.19,0.36,V39.0.7_désactivée,Equipement/batiment existant > 2 ans / Installation par professionnel
RES-CH-107,RES,CH,Extension réseau de chaleur EnR,unitaire,longueur,OUI,8500,7000,5200,3500,kWhc par ml,15,74.63,139.4,abrogation_à_confirmer,
RES-CH-108,RES,CH,Récupération chaleur fatale réseau,unitaire,quantite,OUI,360,360,360,360,kWhc par MWh,3,3.16,5.9,,Equipement/batiment existant > 2 ans / Installation par professionnel
RES-EC-103,RES,EC,Réhabilitation réseau de chaleur,unitaire,longueur,OUI,3800,3100,2300,1500,kWhc par ml,15,33.36,62.32,abrogation_à_confirmer,
RES-EC-104,RES,EC,Rénovation éclairage extérieur,unitaire,puissance,OUI,21000,21000,21000,21000,kWhc par kW,30,184.38,344.4,,Gain >= 55% sur consommation conventionnelle / Audit energetique prealable oblig
TRA-EQ-101,TRA,EQ,Unité transport intermodal rail-route,unitaire,quantite,OUI,2650,2650,2650,2650,kWhc par unité,15,23.27,43.46,,Installation par professionnel
TRA-EQ-103,TRA,EQ,Télématique embarquée suivi conduite,unitaire,quantite,OUI,2650,2650,2650,2650,kWhc par unité,6,23.27,43.46,,Pneu classe A ou B en resistance roulement
TRA-EQ-104,TRA,EQ,Lubrifiant économiseur énergie VL,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par unité,15,11.41,21.32,,Installation par professionnel
TRA-EQ-106,TRA,EQ,Pneus basse résistance roulement,complexe,quantite,NON,1300,1300,1300,1300,kWhc par unité,15,11.41,21.32,V39.0.7_désactivée,Installation par professionnel
TRA-EQ-107,TRA,EQ,Unité transport intermodal fluvial-route,unitaire,quantite,OUI,2650,2650,2650,2650,kWhc par unité,15,23.27,43.46,,Installation par professionnel
TRA-EQ-108,TRA,EQ,Wagon autoroute ferroviaire,unitaire,quantite,OUI,170000,170000,170000,170000,kWhc par unité,15,1492.6,2788.0,,Installation par professionnel
TRA-EQ-109,TRA,EQ,Barge fluviale,unitaire,quantite,OUI,170000,170000,170000,170000,kWhc par unité,15,1492.6,2788.0,,Installation par professionnel
TRA-EQ-110,TRA,EQ,Automoteur fluvial,unitaire,quantite,OUI,230000,230000,230000,230000,kWhc par unité,15,2019.4,3772.0,,Installation par professionnel
TRA-EQ-111,TRA,EQ,Groupe frigorifique haute efficacité,unitaire,quantite,OUI,35000,35000,35000,35000,kWhc par unité,15,307.3,574.0,,Installation par professionnel
TRA-EQ-113,TRA,EQ,Lubrifiant économiseur énergie transport,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par unité,15,11.41,21.32,,Installation par professionnel
TRA-EQ-114,TRA,EQ,Véhicule léger électrique personne morale,unitaire,quantite,OUI,22000,22000,22000,22000,kWhc par unité,15,193.16,360.8,,Installation par professionnel
TRA-EQ-115,TRA,EQ,Véhicule transport marchandises optimisé,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par unité,15,11.41,21.32,,Installation par professionnel
TRA-EQ-117,TRA,EQ,Véhicule léger électrique particulier,unitaire,quantite,OUI,6400,6400,6400,6400,kWhc par unité,15,56.19,104.96,,Installation par professionnel
TRA-EQ-118,TRA,EQ,Aérodynamique poids lourd,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par unité,15,11.41,21.32,,Installation par professionnel
TRA-EQ-119,TRA,EQ,Aide au démarrage poids lourd,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par unité,15,11.41,21.32,,Installation par professionnel
TRA-EQ-120,TRA,EQ,Rétrofit électrique poids lourd,unitaire,quantite,OUI,230000,230000,230000,230000,kWhc par unité,15,2019.4,3772.0,,Installation par professionnel
TRA-EQ-121,TRA,EQ,Aérodynamique autocar,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par unité,15,11.41,21.32,,Installation par professionnel
TRA-EQ-122,TRA,EQ,Rétrofit électrique autocar,unitaire,quantite,OUI,170000,170000,170000,170000,kWhc par unité,15,1492.6,2788.0,,Installation par professionnel
TRA-EQ-123,TRA,EQ,Simulateur de conduite,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par unité,3,11.41,21.32,,Installation par professionnel / Equipement neuf
TRA-EQ-124,TRA,EQ,Branchement électrique navires quai,unitaire,quantite,OUI,8200,8200,8200,8200,kWhc par unité,15,72.0,134.48,,Installation par professionnel
TRA-EQ-125,TRA,EQ,Stop & Start véhicules ferroviaires,unitaire,quantite,OUI,170000,170000,170000,170000,kWhc par unité,15,1492.6,2788.0,,Installation par professionnel
TRA-EQ-126,TRA,EQ,Remotorisation électrique/hybride bateau,complexe,quantite,NON,230000,230000,230000,230000,kWhc par unité,17,2019.4,3772.0,V39.0.7_désactivée,Remplacement equipement existant / Installation par professionnel
TRA-EQ-127,TRA,EQ,Bateau électrique/hybride eaux intérieures,complexe,quantite,NON,170000,170000,170000,170000,kWhc par unité,40,1492.6,2788.0,V39.0.7_désactivée,Installation par professionnel / Equipement neuf
TRA-EQ-128,TRA,EQ,Autocar/autobus électrique,unitaire,quantite,OUI,170000,170000,170000,170000,kWhc par unité,15,1492.6,2788.0,,Installation par professionnel
TRA-EQ-129,TRA,EQ,Poids lourd électrique,unitaire,quantite,OUI,230000,230000,230000,230000,kWhc par unité,15,2019.4,3772.0,,Installation par professionnel
TRA-EQ-130,TRA,EQ,Quadricycle électrique,unitaire,quantite,OUI,35000,35000,35000,35000,kWhc par unité,15,307.3,574.0,,Installation par professionnel
TRA-EQ-131,TRA,EQ,Vélos-cargos électriques,unitaire,quantite,OUI,810,810,810,810,kWhc par unité,15,7.11,13.28,,Installation par professionnel
TRA-EQ-132,TRA,EQ,Mesure conso carburant navire pêche,unitaire,quantite,OUI,8200,8200,8200,8200,kWhc par unité,4,72.0,134.48,,Installation par professionnel
TRA-SE-101,TRA,SE,Formation chauffeur transport économe,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par personne,15,11.41,21.32,,Installation par professionnel
TRA-SE-102,TRA,SE,Formation chauffeur VL économe,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par personne,15,11.41,21.32,,Installation par professionnel
TRA-SE-103,TRA,SE,Formation écoconduite,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par personne,15,11.41,21.32,abrogation_à_confirmer,
TRA-SE-104,TRA,SE,Formation conduite économe moto,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par personne,15,11.41,21.32,,Installation par professionnel
TRA-SE-105,TRA,SE,Formation conduite économe VL,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par personne,15,11.41,21.32,,Installation par professionnel
TRA-SE-106,TRA,SE,Formation écoconduite alt,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par personne,15,11.41,21.32,,Installation par professionnel
TRA-SE-107,TRA,SE,Formation écoconduite poids lourd,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par personne,15,11.41,21.32,,Installation par professionnel
TRA-SE-108,TRA,SE,Formation écoconduite autocar,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par personne,15,11.41,21.32,,Installation par professionnel
TRA-SE-109,TRA,SE,Formation écoconduite VUL,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par personne,15,11.41,21.32,,Installation par professionnel
TRA-SE-110,TRA,SE,Gestion poste pneumatique marchandises,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par véhicule,15,11.41,21.32,,Installation par professionnel
TRA-SE-111,TRA,SE,Gestion poste pneumatique personnes,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par véhicule,15,11.41,21.32,,Installation par professionnel
TRA-SE-112,TRA,SE,Service autopartage en boucle,unitaire,quantite,OUI,36,36,36,36,kWhc par unité,3,0.32,0.59,,Formation certifiee / Conducteur PL ou VUL
TRA-SE-113,TRA,SE,Suivi conso carburants cartes privatives,unitaire,quantite,OUI,1300,1300,1300,1300,kWhc par véhicule,3,11.41,21.32,,Formation certifiee / Conducteur VP
TRA-SE-116,TRA,SE,Fret ferroviaire,unitaire,quantite,OUI,8,8,8,8,kWhc par UTI.km,15,0.07,0.13,,Equipement/batiment existant > 2 ans / Installation par professionnel
TRA-SE-117,TRA,SE,Fret fluvial,unitaire,quantite,OUI,2,2,2,2,kWhc par t.km,15,0.02,0.03,,Installation par professionnel
